"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:35:45,0.0000950,0.0000338,0.0000319,0.0000114,0.00000689,0.0000373
2025-09-08 19:36:00,0.0000950,0.0000338,0.0000319,0.0000114,0.00000689,0.0000373
2025-09-08 19:36:15,0.000120,0,0,0.0000794,0.0000908,0
2025-09-08 19:36:30,0.694,0.121,0.123,0.119,0.129,0.121
2025-09-08 19:36:45,1.07,0.187,0.189,0.182,0.197,0.188
2025-09-08 19:37:00,1.78,0.314,0.315,0.308,0.328,0.317
2025-09-08 19:37:15,1.82,0.319,0.318,0.304,0.330,0.321
2025-09-08 19:37:30,1.49,0.262,0.260,0.252,0.268,0.263
2025-09-08 19:37:45,0.747,0.131,0.126,0.123,0.132,0.131
2025-09-08 19:38:00,0.399,0.0687,0.0669,0.0637,0.0697,0.0670
2025-09-08 19:38:15,0,0.00000298,0.00000635,0.0000160,0,0
2025-09-08 19:38:30,0.00000202,0.00000375,0.00000376,0.00000289,0.00000307,0.00000216
